thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,DIE_LINKE,agree,Zustimmung,0,0.0,-17.62507438659668,-7.533743337262422e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-17.624999049163307,2.2159490242756874e-08,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,0.5,-17.62507438659668,-7.533743337262422e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-17.624999049163307,2.2159490242756874e-08,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,1.0,-17.375097274780273,-9.667406266089529e-05,-18.375097274780273,2.8453348122070565e-08,1.0,1.0467402056235642e-08,Neutral,-17.375000600717613,2.8453348122070565e-08,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,2.0,-17.75007438659668,-7.521823135903105e-05,-18.87507438659668,1.9555681518568235e-08,1.0,6.348800152267131e-09,Neutral,-17.74999916836532,1.9555681518568235e-08,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,4.0,-17.62507438659668,-7.533743337262422e-05,-18.62507438659668,2.2159490242756874e-08,1.0,8.152020392060422e-09,Neutral,-17.624999049163307,2.2159490242756874e-08,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,8.0,-17.625097274780273,-9.667406266089529e-05,-18.625097274780273,2.2159490242756874e-08,1.0,8.152020392060422e-09,Neutral,-17.625000600717613,2.2159490242756874e-08,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,0.0,-20.000709533691406,-0.0007104733376763761,-15.750710487365723,2.06115324807854e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-15.750000014028046,1.4449801710725296e-07,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,0.5,-20.125553131103516,-0.000553335587028414,-16.000553131103516,1.818961425925636e-09,0.9999998807907104,1.1253516163378663e-07,Neutral,-15.999999795516487,1.1253516163378663e-07,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,1.0,-20.000709533691406,-0.0007103541865944862,-15.875710487365723,2.06115324807854e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-15.875000133179128,1.2751904421293148e-07,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,2.0,-20.000709533691406,-0.0007102350937202573,-15.875710487365723,2.06115324807854e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-15.875000252272002,1.2751904421293148e-07,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,4.0,-19.875709533691406,-0.0007103541865944862,-15.750710487365723,2.335592830249311e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-15.750000133179128,1.4449801710725296e-07,0
